name	reason	age
Richard Phillips Feynman	 for their fundamental work in quantum electrodynamics (QED) with deep-ploughing consequences for the physics of elementary particles	69
Shin'ichirō Tomonaga	 for their fundamental work in quantum electrodynamics (QED) with deep-ploughing consequences for the physics of elementary particles	73
Julian Schwinger	 for their fundamental work in quantum electrodynamics (QED) with deep-ploughing consequences for the physics of elementary particles	76
Rudolf Ludwig Mössbauer	 for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name	82
Erwin Schrödinger	 for the discovery of new productive forms of atomic theory	73
Paul Dirac	 for the discovery of new productive forms of atomic theory	82
Maria Skłodowska-Curie	 for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel	66
Pierre Curie	 for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel	46
Rudolf Ludwig Mössbauer	Research on the resonance absorption of gamma radiation and the discovery of the Mössbauer effect	32
Albert Einstein	Theoretical explanation of the photoelectric effect and the discovery of the law of the photoelectric effect, which laid the foundation for the quantum theory of light	42
Max Planck	Groundbreaking research on quantum theory, introducing the concept of energy quantization and laying the foundation for modern quantum mechanics	42